VL,HL,gates,inputs,outputs,power
2,1,2,2,1,5.1024
3,1,3,2,1,8.9476
4,1,4,2,1,11.8353
5,1,5,2,1,15.2187
1,2,2,2,2,6.0982
3,2,6,2,2,18.4495
4,2,8,2,2,23.6037
1,3,3,2,3,9.9875
3,3,9,2,3,27.4453
4,3,12,2,3,34.8871
5,3,15,2,3,45.7108
2,2,4,3,2,14.2085
3,2,6,3,2,22.8906
5,2,10,3,2,37.2214
1,3,3,3,3,10.6824
2,3,6,3,3,21.8941
3,3,9,3,3,35.7706
5,3,15,3,3,58.0165
1,2,2,4,2,7.2139
2,2,4,4,2,14.8895
4,2,8,4,2,28.6413
5,2,10,4,2,35.9246
1,3,3,4,3,10.9547
2,3,6,4,3,19.7763
4,3,12,4,3,37.5562
